code,ask_size1,ask_size2,ask_size3,ask_size4,ask_size5,ask_price1,ask_price2,ask_price3,ask_price4,ask_price5,ask_yield1,ask_yield2,ask_yield3,ask_yield4,ask_yield5,bid_size1,bid_size2,bid_size3,bid_size4,bid_size5,bid_price1,bid_price2,bid_price3,bid_price4,bid_price5,bid_yield1,bid_yield2,bid_yield3,bid_yield4,bid_yield5,clearMethod,deliveryType,dataSource,settle_type,recv_time,source_time,is_inversion,is_unilateral,is_vacuum,is_spike
180210,30000000,,,,,103.4175,,,,,3.1111,,,,,10000000,50000000,,,,103.1211,101.783,,,,3.19,3.55,,,,,,XBOND,T1,"	2024-07-16 19:34:33	","	2024-07-16 19:34:32	",0,0,0,0
180210,,,,,,,,,,,,,,,,10000000,50000000,,,,103.1211,101.783,,,,3.19,3.55,,,,,,XBOND,T1,"	2024-07-16 19:33:57	","	2024-07-16 19:33:57	",0,1,0,0
180011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XBOND,T1,"	2024-07-16 19:33:37	","	2024-07-16 19:33:37	",0,0,1,0
180011,30000000,,,,,101.6793,,,,,3.22,,,,,,,,,,,,,,,,,,,,,,XBOND,T1,"	2024-07-16 19:31:49	","	2024-07-16 19:31:49	",0,1,0,0
170010,10000000,,,,,102.1441,,,,,2.7182,,,,,10000000,,,,,101.2553,,,,,3.0475,,,,,,,XBOND,T1,"	2024-07-16 19:30:09	","	2024-07-16 19:30:09	",0,0,0,0
180011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XBOND,T1,"	2024-07-16 19:30:08	","	2024-07-16 19:30:08	",0,0,1,0
170010,10000000,,,,,103.7524,,,,,2.131,,,,,10000000,,,,,103.4854,,,,,2.2277,,,,,,,XBOND,T1,"	2024-07-16 19:30:08	","	2024-07-16 19:30:08	",0,0,0,0
180011,120000000,,,,,103.4585,,,,,2.733,,,,,100000000,,,,,103.4319,,,,,2.7402,,,,,,,XBOND,T1,"	2024-07-16 19:30:07	","	2024-07-16 19:30:07	",0,0,0,0
170010,10000000,,,,,102.1441,,,,,2.7182,,,,,10000000,,,,,101.2553,,,,,3.0475,,,,,,,XBOND,T1,"	2024-07-16 19:29:20	","	2024-07-16 19:29:19	",0,0,0,0
170010,10000000,,,,,103.7742,,,,,2.1231,,,,,10000000,,,,,103.5133,,,,,2.2176,,,,,,,XBOND,T1,"	2024-07-16 19:29:19	","	2024-07-16 19:29:18	",0,0,0,0
180011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XBOND,T1,"	2024-07-16 19:29:19	","	2024-07-16 19:29:18	",0,0,1,0
180011,120000000,,,,,103.4873,,,,,2.7252,,,,,50000000,,,,,103.4688,,,,,2.7302,,,,,,,XBOND,T1,"	2024-07-16 19:29:18	","	2024-07-16 19:29:17	",0,0,0,0
